x,y
886,333
887,334
888,334
889,334
890,335
892,336
892,337
894,338
894,338
895,340
897,341
898,342
899,342
902,341
903,342
904,343
905,345
907,347
907,345
908,345
909,346
911,347
911,347
912,348
913,349
914,348
916,348
916,349
917,351
920,352
921,351
921,351
923,352
924,352
924,353
926,352
927,352
928,353
928,354
932,354
933,355
934,356
935,356
936,357
937,356
939,359
940,359
940,360
942,360
945,361
945,362
946,362
947,362
950,363
950,365
953,366
953,366
956,366
956,366
957,369
959,368
963,372
965,370
