x,y
844,311
845,311
846,311
848,311
850,312
851,314
852,314
854,316
854,316
855,318
854,317
855,319
856,319
857,319
859,320
859,320
861,320
862,321
864,321
866,323
867,324
868,325
869,325
869,327
871,327
872,328
873,328
874,329
876,330
877,330
879,330
879,331
881,331
883,332
884,333
885,333
886,334
887,333
888,334
890,334
892,335
892,336
893,336
894,337
894,338
896,338
897,340
899,340
898,342
899,342
901,343
902,344
902,345
903,347
903,348
903,349
906,349
906,350
908,351
910,353
911,353
912,354
913,353
915,355
918,356
919,357
920,357
920,358
923,360
924,360
925,360
925,361
929,362
930,363
933,363
934,363
938,364
940,365
941,367
942,367
946,368
947,368
952,370
954,372
958,373
958,375
961,379
961,380
964,385
964,386
970,393
971,395
978,407
979,409
1013,418
1013,417
1026,424
1026,425
1034,428
1035,428
1039,435
1040,436
1042,438
1043,440
1046,442
1047,443
1051,447
1054,448
1056,449
1056,451
1058,452
1058,454
1059,457
1060,458
1062,462
1063,463
1065,464
1066,465
1066,466
1067,467
1068,471
1068,471
1071,473
1072,474
1072,475
1074,476
1076,479
1077,478
1078,479
1080,481
1080,482
1082,482
1083,483
1084,484
1085,486
1087,486
1088,488
1088,489
1089,489
1090,491
1090,492
1091,493
1092,494
1093,494
1094,494
1095,495
1095,498
1096,498
1097,501
1098,501
1098,503
1100,505
1101,506
1102,507
1103,507
1103,508
1104,511
1106,512
1106,513
1106,514
1107,515
1108,516
1109,517
1109,518
1110,520
1112,522
1113,523
1113,525
1115,526
1115,527
1116,528
1116,530
1116,532
1116,534
1116,536
1117,537
1116,538
1116,540
1117,541
1117,542
1118,542
1117,544
1119,545
1119,546
1120,546
1119,548
1121,549
1122,548
1122,551
1123,551
1123,552
1124,553
1125,553
1125,554
1125,555
1126,555
1126,557
1127,558
1127,559
1129,561
1130,561
1130,563
1131,565
1131,566
1132,566
1133,566
1133,568
1133,568
1133,569
1134,570
1134,571
1135,574
1135,575
1136,577
1137,578
1137,580
1138,580
1139,582
1138,586
1138,586
1140,587
1140,589
1141,590
1143,592
1143,594
1142,596
1143,597
1145,600
1144,601
1145,603
