x,y
897,339
898,340
900,340
901,341
902,341
903,342
904,342
905,343
907,343
908,344
909,344
911,346
913,346
914,347
915,347
916,348
917,348
918,349
919,349
920,350
921,350
922,351
923,351
924,352
925,352
926,353
927,353
929,355
930,355
931,356
932,356
933,357
934,357
935,358
936,358
937,359
938,359
940,361
941,361
942,362
943,362
944,363
945,363
947,365
948,365
949,366
950,366
952,368
953,368
954,369
955,369
957,371
958,371
960,373
961,373
962,374
963,374
965,376
966,376
969,379
970,379
971,380
972,380
975,383
976,383
978,385
979,385
982,388
983,388
985,390
986,390
989,393
990,393
994,397
995,397
998,400
999,400
1003,404
1004,404
1008,408
1009,408
1015,414
1016,414
1025,423
1026,423
1052,449
1052,450
1061,459
1061,460
1067,466
1067,467
1071,471
1071,472
1075,476
1075,477
1079,481
1079,482
1082,485
1082,486
1085,489
1085,490
1088,493
1088,494
1090,496
1090,497
1093,500
1093,501
1095,503
1095,504
1097,506
1097,507
1099,509
1099,510
1101,512
1101,513
1102,514
1102,515
1104,517
1104,518
1106,520
1106,521
1107,522
1107,523
1109,525
1109,526
1111,528
1111,529
1112,530
1112,531
1113,532
1113,533
1115,535
1115,536
1116,537
1116,538
1117,539
1117,540
1119,542
1119,543
1120,544
1120,545
1121,546
1121,547
1122,548
1122,549
1123,550
1123,551
1124,552
1124,553
1125,554
1125,555
1126,556
1126,557
1127,558
1127,559
1128,560
1128,561
1129,562
1129,563
1130,564
1130,565
1131,566
1131,567
1132,568
1132,570
1133,571
1133,572
1134,573
1134,574
1135,575
1135,576
1136,577
1136,579
1138,581
1138,583
1139,584
1139,585
1140,586
1140,588
1141,589
1141,590
1142,591
1142,593
1143,594
1143,595
1144,596
1144,598
1145,599
1145,601
1146,602
1146,603
1147,604
1147,606
1148,607
1148,609
1149,610
1149,611
1150,612
1150,614
1151,615
1151,617
1152,618
1152,620
1153,621
1153,623
1154,624
1154,626
1155,627
1155,630
1156,631
1156,633
1157,634
1157,636
1158,637
1158,640
1159,641
1159,643
1160,644
1160,647
1161,648
1161,651
1162,652
1162,655
1163,656
1163,659
1164,660
1164,663
1165,664
1165,667
1166,668
1166,672
1167,673
1167,677
1168,678
1168,683
1169,684
1169,688
1170,689
1170,694
1171,695
1171,701
1172,702
1172,708
1173,709
1173,717
1174,718
1174,727
1175,728
1175,740
1176,741
1176,805
1175,806
1175,815
1174,816
1174,818
1173,819
1173,827
1172,828
1172,834
1171,835
1171,841
1170,842
1170,847
1169,848
1169,853
1168,854
1168,858
1167,859
1167,863
1166,864
1166,867
1165,868
1165,872
1164,873
1164,876
1163,877
1163,880
1162,881
1162,884
1161,885
1161,888
1160,889
1160,892
1159,893
1159,895
1158,896
1158,899
1157,900
1157,902
1156,903
1156,905
1155,906
1155,909
1154,910
1154,912
1153,913
1153,915
1152,916
1152,918
1151,919
1151,921
1150,922
1150,924
1149,925
1149,926
1148,927
1148,929
1147,930
1147,932
1146,933
1146,935
1145,936
1145,937
1144,938
1144,940
1143,941
1143,942
1142,943
1142,945
1141,946
1141,947
1140,948
1140,950
1139,951
1139,952
1138,953
1138,955
1136,957
1136,959
1135,960
1135,961
1134,962
1134,963
1133,964
1133,966
1132,967
1132,968
1131,969
1131,970
1130,971
1130,972
1129,973
1129,974
1128,975
1128,976
1127,977
1127,978
1126,979
1126,980
1125,981
1125,982
1124,983
1124,984
1123,985
1123,986
1122,987
1122,988
1121,989
1121,990
1120,991
1120,992
1118,994
1118,995
1117,996
1117,997
1116,998
1116,999
1115,1000
1115,1001
1113,1003
1113,1004
1112,1005
1112,1006
1110,1008
1110,1009
1109,1010
1109,1011
1107,1013
1107,1014
1106,1015
1106,1016
1104,1018
1104,1019
1102,1021
1102,1022
1101,1023
1101,1024
1099,1026
1099,1027
1097,1029
1097,1030
1095,1032
1095,1033
1093,1035
1093,1036
1090,1039
1090,1040
1088,1042
1088,1043
1085,1046
1085,1047
1082,1050
1082,1051
1079,1054
1079,1055
1075,1059
1075,1060
1071,1064
1071,1065
1066,1070
1066,1071
1061,1076
1061,1077
1051,1087
1051,1088
1027,1112
1026,1112
1017,1121
1016,1121
1010,1127
1009,1127
1005,1131
1004,1131
999,1136
998,1136
995,1139
994,1139
990,1143
989,1143
986,1146
985,1146
983,1148
982,1148
979,1151
978,1151
976,1153
975,1153
973,1155
972,1155
970,1157
969,1157
967,1159
966,1159
964,1161
963,1161
961,1163
960,1163
958,1165
957,1165
956,1166
955,1166
953,1168
952,1168
950,1170
949,1170
948,1171
947,1171
946,1172
945,1172
943,1174
942,1174
941,1175
940,1175
938,1177
937,1177
936,1178
935,1178
934,1179
933,1179
932,1180
931,1180
929,1182
928,1182
927,1183
926,1183
925,1184
923,1184
921,1186
920,1186
919,1187
918,1187
917,1188
916,1188
915,1189
913,1189
911,1191
909,1191
908,1192
907,1192
906,1193
905,1193
904,1194
903,1194
902,1195
901,1195
900,1196
899,1196
898,1197
896,1197
895,1198
894,1198
893,1199
891,1199
889,1201
887,1201
886,1202
884,1202
883,1203
882,1203
